id,"name","ancestry","created_at","updated_at"
83,"46～52インチ","75","2019-09-25 15:57:05","2019-09-25 15:57:05"
84,"52～60インチ","75","2019-09-25 15:57:05","2019-09-25 15:57:05"
85,"60インチ～","75","2019-09-25 15:57:05","2019-09-25 15:57:05"
86,"カメラレンズのサイズ",NULL,"2019-09-25 15:57:05","2019-09-25 15:57:05"
87,"ニコンFマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
88,"キヤノンEFマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
89,"ペンタックスKマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
90,"ペンタックスQマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
91,"フォーサーズマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
92,"マイクロフォーサーズマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
93,"α Aマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
94,"α Eマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
95,"ニコン1マウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
96,"キヤノンEF-Mマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
97,"Xマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
98,"シグマSAマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
99,"オートバイのサイズ",NULL,"2019-09-25 15:57:05","2019-09-25 15:57:05"
100,"50cc以下","99","2019-09-25 15:57:05","2019-09-25 15:57:05"
101,"51cc-125cc","99","2019-09-25 15:57:05","2019-09-25 15:57:05"
102,"126cc-250cc","99","2019-09-25 15:57:05","2019-09-25 15:57:05"
103,"251cc-400cc","99","2019-09-25 15:57:05","2019-09-25 15:57:05"
104,"401cc-750cc","99","2019-09-25 15:57:05","2019-09-25 15:57:05"
105,"751cc以上","99","2019-09-25 15:57:05","2019-09-25 15:57:05"
106,"ヘルメットのサイズ",NULL,"2019-09-25 15:57:05","2019-09-25 15:57:05"
107,"XSサイズ以下","106","2019-09-25 15:57:05","2019-09-25 15:57:05"
108,"Sサイズ","106","2019-09-25 15:57:05","2019-09-25 15:57:05"
109,"Mサイズ","106","2019-09-25 15:57:05","2019-09-25 15:57:05"
110,"Lサイズ","106","2019-09-25 15:57:05","2019-09-25 15:57:05"
111,"XLサイズ","106","2019-09-25 15:57:05","2019-09-25 15:57:05"
112,"XXLサイズ以上","106","2019-09-25 15:57:05","2019-09-25 15:57:05"
113,"フリーサイズ","106","2019-09-25 15:57:05","2019-09-25 15:57:05"
114,"子ども用","106","2019-09-25 15:57:05","2019-09-25 15:57:05"
115,"タイヤのサイズ",NULL,"2019-09-25 15:57:05","2019-09-25 15:57:05"
116,"12インチ","115","2019-09-25 15:57:05","2019-09-25 15:57:05"
117,"13インチ","115","2019-09-25 15:57:05","2019-09-25 15:57:05"
118,"14インチ","115","2019-09-25 15:57:05","2019-09-25 15:57:05"
119,"15インチ","115","2019-09-25 15:57:05","2019-09-25 15:57:05"
120,"16インチ","115","2019-09-25 15:57:05","2019-09-25 15:57:05"
121,"17インチ","115","2019-09-25 15:57:05","2019-09-25 15:57:05"
122,"18インチ","115","2019-09-25 15:57:05","2019-09-25 15:57:05"
123,"19インチ","115","2019-09-25 15:57:05","2019-09-25 15:57:05"
124,"20インチ","115","2019-09-25 15:57:05","2019-09-25 15:57:05"
125,"21インチ","115","2019-09-25 15:57:05","2019-09-25 15:57:05"
126,"22インチ","115","2019-09-25 15:57:05","2019-09-25 15:57:05"
127,"23インチ","115","2019-09-25 15:57:05","2019-09-25 15:57:05"
128,"24インチ","115","2019-09-25 15:57:05","2019-09-25 15:57:05"
129,"スキーのサイズ",NULL,"2019-09-25 15:57:05","2019-09-25 15:57:05"
130,"140cm～","129","2019-09-25 15:57:05","2019-09-25 15:57:05"
131,"150cm～","129","2019-09-25 15:57:05","2019-09-25 15:57:05"
132,"160cm～","129","2019-09-25 15:57:05","2019-09-25 15:57:05"
133,"170cm～","129","2019-09-25 15:57:05","2019-09-25 15:57:05"
134,"スキーボード","129","2019-09-25 15:57:05","2019-09-25 15:57:05"
135,"子ども用","129","2019-09-25 15:57:05","2019-09-25 15:57:05"
136,"その他","129","2019-09-25 15:57:05","2019-09-25 15:57:05"
137,"スノーボードのサイズ",NULL,"2019-09-25 15:57:05","2019-09-25 15:57:05"
138,"135cm-140cm未満","137","2019-09-25 15:57:05","2019-09-25 15:57:05"
139,"140cm-145cm未満","137","2019-09-25 15:57:05","2019-09-25 15:57:05"
140,"145cm-150cm未満","137","2019-09-25 15:57:05","2019-09-25 15:57:05"
141,"150cm-155cm未満","137","2019-09-25 15:57:05","2019-09-25 15:57:05"
142,"155cm-160cm未満","137","2019-09-25 15:57:05","2019-09-25 15:57:05"
143,"160cm-165cm未満","137","2019-09-25 15:57:05","2019-09-25 15:57:05"
144,"165cm-170cm未満","137","2019-09-25 15:57:05","2019-09-25 15:57:05"
